title,genres,cast,director,overview
The Notebook,Romance Drama,Ryan Gosling Rachel McAdams Gena Rowlands,Nick Cassavetes,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths."
The Truman Show,Comedy Drama,Jim Carrey Laura Linney Noah Emmerich,Peter Weir,"In a picture-perfect seaside town, an insurance salesman begins to realize that his entire existence may be staged and observed by a vast unseen audience as part of a reality TV show."
The Internship,Action,Lizzy Greene Megan Boone Sky Katz,James Bamford,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force."
Closer,Drama Romance,Jude Law Natalie Portman Julia Roberts,Mike Nichols,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.
The Secret Life of Pets 2,Family Comedy Adventure Animation,Patton Oswalt Kevin Hart Eric Stonestreet,Chris Renaud,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses."
After Porn Ends 2,Documentary,Ginger Lynn Lisa Ann Janine Lindemulder,Bryce Wagoner,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling."
Harry Potter and the Deathly Hallows: Part 1,Adventure Fantasy,Daniel Radcliffe Emma Watson Rupert Grint,David Yates,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
The Emoji Movie,Animation Family Comedy,T.J. Miller James Corden Anna Faris,Tony Leondis,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
Fast X,Action Crime Thriller,Vin Diesel Michelle Rodriguez Tyrese Gibson,Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
Raiders of the Lost Ark,Adventure Action,Harrison Ford Karen Allen Paul Freeman,Steven Spielberg,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
Scream,Crime Horror Mystery,David Arquette Neve Campbell Courteney Cox,Wes Craven,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."
Sisu: Road to Revenge,Action War,Jorma Tommila Stephen Lang Richard Brake,Jalmari Helander,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues."
Fury,War Drama Action,Brad Pitt Shia LaBeouf Logan Lerman,David Ayer,"April, 1945. As the Allies make their final push in the European Theatre, a battle-hardened army sergeant named Wardaddy commands a Sherman tank and her five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, and with a rookie soldier thrust into their platoon, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany."
Deadpool,Action Adventure Comedy,Ryan Reynolds Morena Baccarin Ed Skrein,Tim Miller,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
The Naked Gun,Action Comedy Crime,Liam Neeson Pamela Anderson Paul Walter Hauser,Akiva Schaffer,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure."
Road House,Action Thriller Drama,Jake Gyllenhaal Conor McGregor Billy Magnussen,Doug Liman,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
The Family Plan 2,Action Comedy,Mark Wahlberg Michelle Monaghan Kit Harington,Simon Cellan Jones,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy."
The King's Warden,History Drama,Yoo Hai-jin Park Ji-hoon Yoo Ji-tae,Chang Hang-jun,"In a remote mountain village of 15th-century Joseon, humble headman Heung-do hears a rumor that any village hosting an exiled nobleman will be blessed with abundance and fortune. Hoping to bring prosperity to his impoverished community, he eagerly submits a petition to host one—unaware that his guest is none other than the fallen monarch, deposed boy-king Danjong."
Primate,Horror Thriller,Johnny Sequoyah Jessica Alexander Troy Kotsur,Johannes Roberts,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp."
Prey,Thriller Action Science Fiction,Amber Midthunder Dakota Beavers Michelle Thrush,Dan Trachtenberg,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal."
A History of Violence,Drama Thriller Crime,Viggo Mortensen Maria Bello Ed Harris,David Cronenberg,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.
Horrible High Heels,Horror,Lin Hsiao-Lao Suen Tong Dick Wei,Mao Chiang-Pang,"Someone has been skinning dead bodies and using their hide to make shoes. All of a sudden, a shoe factory whose business has been on the low side for some time improves tremendously."
MiLK,Drama,Minori Hatsune Taijirō Tamura Ryuki Nishimoto,Tōru Kamei,"A woman, born in a cowshed, grows up working a dairy farm.  Suffering under the gaze of her male coworkers,  she longs for the attention of the newspaper delivery boy."
Terminator 2: Judgment Day,Action Thriller Science Fiction,Arnold Schwarzenegger Linda Hamilton Edward Furlong,James Cameron,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse."
Scream VI,Horror Thriller Crime,Melissa Barrera Jenna Ortega Jasmin Savoy Brown,Tyler Gillett,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter."
The Maze Runner,Action Mystery Science Fiction Thriller,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster,Wes Ball,"A teenager with no memory of his past finds himself among a group of boys living in a walled enclosure surrounded by a massive, ever-changing maze. As he struggles to adapt to their rules and society, he begins to uncover clues that may lead to escape and the truth behind their confinement."
Kulong,Drama,Jenn Rosa Aica Veloso Cariz Manzano,Sigrid Polon,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience."
A Working Man,Action Crime Thriller,Jason Statham Jason Flemyng Merab Ninidze,David Ayer,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined."
Kingdom of Heaven,Drama Action Adventure History War,Orlando Bloom Eva Green Jeremy Irons,Ridley Scott,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades."
Finding Nemo,Animation Family Adventure,Albert Brooks Ellen DeGeneres Alexander Gould,Andrew Stanton,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."
Bad Boys: Ride or Die,Action Comedy Crime,Will Smith Martin Lawrence Vanessa Hudgens,Adil El Arbi,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves."
The Ugly Stepsister,Horror Comedy Drama,Lea Myren Ane Dahl Torp Thea Sofie Loch Næss,Emilie Blichfeldt,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye."
Flow,Animation Adventure Fantasy Family,,Gints Zilbalodis,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together."
Heat,Crime Drama Action,Al Pacino Robert De Niro Val Kilmer,Michael Mann,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
The Conjuring,Horror Thriller,Vera Farmiga Patrick Wilson Lili Taylor,James Wan,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives."
Psycho,Horror Thriller Mystery,Anthony Perkins Janet Leigh Vera Miles,Alfred Hitchcock,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
I Swear,Drama History,Robert Aramayo Maxine Peake Peter Mullan,Kirk Jones,"Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life."
2012,Action Adventure Science Fiction,John Cusack Amanda Peet Chiwetel Ejiofor,Roland Emmerich,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
Doctor Strange in the Multiverse of Madness,Fantasy Action Adventure,Benedict Cumberbatch Xochitl Gomez Elizabeth Olsen,Sam Raimi,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary."
Ratatouille,Animation Comedy Family Fantasy,Patton Oswalt Ian Holm Lou Romano,Brad Bird,"Remy, a rat living in Paris, possesses a palate far more refined than that of his fellow comrades. He dreams of becoming a chef, determined to create culinary masterpieces rather than scavenge for scraps. When fate deposits him in the sewers beneath one of Paris’s most famous restaurants, he finds himself ideally placed to fulfill his dream. Forming an unusual alliance with a bumbling young kitchen worker, Remy begins a daring culinary double life. Together, they must outwit the scheming Head Chef Skinner, evade Remy’s disapproving colony, and impress renowned food critic Anton Ego, who strikes fear in the hearts of chefs all throughout France."
Nobody 2,Action Thriller,Bob Odenkirk Connie Nielsen John Ortiz,Timo Tjahjanto,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss."
Lolita,Drama Romance,Jeremy Irons Dominique Swain Melanie Griffith,Adrian Lyne,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter."
Van Helsing,Horror Adventure Action,Hugh Jackman Kate Beckinsale Richard Roxburgh,Stephen Sommers,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.
Wicked: For Good,Fantasy Adventure Romance,Cynthia Erivo Ariana Grande Jeff Goldblum,Jon M. Chu,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good."
Inglourious Basterds,Drama Thriller War,Brad Pitt Mélanie Laurent Christoph Waltz,Quentin Tarantino,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."
Real Steel,Action Science Fiction Drama,Hugh Jackman Dakota Goyo Evangeline Lilly,Shawn Levy,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender."
Guardians of the Galaxy Vol. 2,Science Fiction Adventure Action,Chris Pratt Zoe Saldaña Dave Bautista,James Gunn,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.
Maalai Nera Malipoo,Drama,Vinithra Madhavan Menon Master Ashwin Dhinesh Pandiyar,Sanjay Narayanan,The movie is about how the global pandemic forces a prostitute to change her medium of work onto a digital platform and how her relationship with her son is affected
L.E.T.H.A.L. Ladies: Return to Savage Beach,Action Thriller,Julie Strain Rodrigo Obregón Julie K. Smith,Andy Sidaris,A stolen computer disk contains the location of a hidden tresaure trove. It's up to the sexy ladies of LETHAL (Legion to Ensure Total Harmony and Law) to find the treasure before the bad guys do.
Regretting You,Romance Drama,Mckenna Grace Mason Thames Allison Williams,Josh Boone,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other."
Kraven the Hunter,Action Adventure Thriller,Aaron Taylor-Johnson Ariana DeBose Fred Hechinger,J.C. Chandor,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
Feel My Voice,Music Drama Comedy,Sarah Toscano Serena Rossi Carola Insolera,Luca Ribuoli,"A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing."
18th Rose,Drama Romance,Xyriel Manabat Kyle Echarri Cris Villanueva,Dolly Dulu,"A spirited teen dreaming of the perfect debut makes a deal with a lonely newcomer, but unexpected feelings and revelations may shatter their plans."
Malena,Drama,Monica Bellucci Giuseppe Sulfaro Luciano Federico,Giuseppe Tornatore,"12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her."
The Voice of Hind Rajab,Drama,Hind Rajab Motaz Malhees Saja Kilani,Kaouther Ben Hania,"January 29, 2024. Red Crescent volunteers receive an emergency call. A five-year old girl is trapped in a car under fire in Gaza, pleading for rescue. While trying to keep her on the line, they do everything they can to get an ambulance to her. Her name was Hind Rajab."
Teddy's Christmas,Family Adventure Fantasy,Marte Klerck-Nilssen John Brungot Vegard Strand Eide,Andrea Eckerbom,"While visiting a Christmas market in her Norwegian town, eight year old Mariann spots a talking teddy bear at a carnival game booth. However, when someone else wins it, she embarks on a quest to find the adorable bear that captured her heart."
Arrival,Drama Science Fiction Mystery,Amy Adams Jeremy Renner Forest Whitaker,Denis Villeneuve,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat."
Gone Girl,Mystery Thriller Drama,Ben Affleck Rosamund Pike Neil Patrick Harris,David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Good Dinosaur,Adventure Animation Family,Frances McDormand Raymond Ochoa Jeffrey Wright,Peter Sohn,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.
Crazy Underwear,Comedy,Monica Guerritore Eva Grimaldi Marisa Merlini,Roberto D'Agostino,"Alessia, a TV showgirl, tries to win the favor of an official. Amalia, a morning show host, satisfies the masochistic director in order to go to prime time. Stefania ""works hard"" to act in a risqué film by a famous director, but the part is stolen from her by her friend Beatrice, apparently only devoted to her studies."
Tangled,Animation Family Adventure,Mandy Moore Zachary Levi Donna Murphy,Nathan Greno,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade."
Insidious: Out of the Further,Horror Thriller,Amelia Eve Brandon Perea Lin Shaye,Jacob Chase,"A trio of stalkers infiltrate a quiet suburb and force a new family into the astral plane, where they uncover a terrifying truth: the Further is bleeding into the real world."
Scream,Horror Mystery,Melissa Barrera Jenna Ortega Mason Gooding,Tyler Gillett,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past."
Babygirl,Romance Thriller,Nicole Kidman Harris Dickinson Antonio Banderas,Halina Reijn,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.
Love Lesson,Romance Drama Comedy,Kim Sun-young Byun Jun-suk Oh Cho-hee,Ko Kyeong-Ah,"Korea's most popular song writer Hee-soo runs into a nineteen-year-old boy in the elevator. Hee-soo is inspired by a new song watching him shake at her figure. She starts to tell him about women under the excuse that she's teaching him music. They fall for each other but things get complicated when her life teacher, Joon-ho who taught her about life and music comes back."
The Red Line,Thriller Crime Drama,Nittha Jirayungyurn Esther Supreeleela Chutima Maholakul,Sitisiri Mongkolsiri,"Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money — and their dignity."
Guardians of the Galaxy Vol. 3,Science Fiction Adventure Action,Chris Pratt Zoe Saldaña Dave Bautista,James Gunn,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
A Serbian Film,Crime Horror Thriller,Srđan 'Žika' Todorović Sergej Trifunović Jelena Gavrilović,Srđan Spasojević,"Retired porn star Milos leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem."
Icefall,Action Crime Thriller,Joel Kinnaman Cara Jade Myers Danny Huston,Stefan Ruzowitzky,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts."
Star Wars: The Mandalorian and Grogu,Action Adventure Science Fiction,Pedro Pascal Jeremy Allen White Sigourney Weaver,Jon Favreau,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu."
Furiosa: A Mad Max Saga,Action Science Fiction Adventure,Anya Taylor-Joy Chris Hemsworth Tom Burke,George Miller,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home."
Harry Potter and the Chamber of Secrets,Adventure Fantasy,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage."
The Equalizer 3,Action Thriller Crime,Denzel Washington Dakota Fanning Eugenio Mastrandrea,Antoine Fuqua,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
The Beekeeper,Action Crime Thriller,Jason Statham Emmy Raver-Lampman Josh Hutcherson,David Ayer,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.
The Hunger Games: The Ballad of Songbirds & Snakes,Science Fiction Action,Tom Blyth Rachel Zegler Peter Dinklage,Francis Lawrence,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12."
Thunderbolts*,Action Science Fiction Adventure,Florence Pugh Sebastian Stan Julia Louis-Dreyfus,Jake Schreier,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts."
Female Workers: Romance at Work 3,Romance,Soo Hee Lee Chae-dam Hae Il,Choi Jong-gyoo,"Yoo-ra succeeded in finding a job after a difficult time. Despite her stunning beauty, her family's financial situation is difficult. Her male assistant manager knows of her difficult situation, so he asks for her body with money as bait. On the other hand, Hye-seon, the female manager of the same company, seduces the handsome new employee, Min-soo. Employees enjoy the world of animals in the workplace without knowing each other."
Mirror,Drama History,Margarita Terekhova Ignat Daniltsev Larisa Tarkovskaya,Andrei Tarkovsky,"A dying man in his forties recalls his childhood, his mother, the war and personal moments that tell of and juxtapose pivotal moments in Soviet history with daily life."
The Batman,Crime Mystery Thriller,Robert Pattinson Zoë Kravitz Jeffrey Wright,Matt Reeves,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon."
Alien,Horror Science Fiction,Tom Skerritt Sigourney Weaver Veronica Cartwright,Ridley Scott,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
In the Realm of the Senses,Drama Romance,Eiko Matsuda Tatsuya Fuji Aoi Nakajima,Nagisa Ōshima,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship."
2001: A Space Odyssey,Science Fiction Mystery Adventure,Keir Dullea Gary Lockwood William Sylvester,Stanley Kubrick,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
My Neighbor Totoro,Fantasy Animation Family,Noriko Hidaka Chika Sakamoto Hitoshi Takagi,Hayao Miyazaki,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her."
We Bury the Dead,Horror Thriller,Daisy Ridley Brenton Thwaites Mark Coles Smith,Zak Hilditch,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying."
Mickey 17,Science Fiction Comedy Adventure,Robert Pattinson Naomi Ackie Steven Yeun,Bong Joon Ho,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living."
Top Gun,Action Drama Romance,Tom Cruise Kelly McGillis Val Kilmer,Tony Scott,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot."
Star Wars: The Force Awakens,Adventure Action Science Fiction,Daisy Ridley John Boyega Oscar Isaac,J.J. Abrams,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers."
Godzilla x Kong: The New Empire,Action Adventure Science Fiction,Rebecca Hall Brian Tyree Henry Dan Stevens,Adam Wingard,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own."
Wrath of Man,Thriller Crime Drama,Jason Statham Holt McCallany Rocci Williams,Guy Ritchie,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score."
American Pie,Comedy Romance,Jason Biggs Chris Klein Thomas Ian Nicholas,Paul Weitz,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom."
Predator,Science Fiction Action Adventure Thriller,Arnold Schwarzenegger Carl Weathers Kevin Peter Hall,John McTiernan,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.
Love Me Love Me,Romance Drama,Pepe Barroso Mia Jenkins Luca Melucci,Roger Kumble,"After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James—hiding a dangerous life in clandestine MMA fights—sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted."
Fall,Thriller,Grace Caroline Currey Virginia Gardner Jeffrey Dean Morgan,Scott Mann,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter's expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights."
Twinless,Comedy Drama,Dylan O'Brien James Sweeney Aisling Franciosi,James Sweeney,"Two men who lost their respective twin brothers develop a growing friendship after meeting in a support group. However, both harbor long-hidden secrets that threaten to tear them apart."
Ice Age,Animation Comedy Family Adventure,Ray Romano John Leguizamo Denis Leary,Chris Wedge,"Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age."
Zatoichi,Adventure Drama Action,Takeshi Kitano Tadanobu Asano Michiyo Yasuda,Takeshi Kitano,"Blind traveler Zatoichi is a master swordsman and a masseur with a fondness for gambling on dice games. When he arrives in a village torn apart by warring gangs, he sets out to protect the townspeople."
Brave,Animation Family Fantasy Adventure,Kelly Macdonald Emma Thompson Billy Connolly,Mark Andrews,"In the mystical Scottish Highlands, Merida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Merida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Merida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Merida's quest — and serving as comic relief — are the kingdom's three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall."
The Prestige,Drama Mystery Science Fiction,Hugh Jackman Christian Bale Michael Caine,Christopher Nolan,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
Laila,Comedy Romance,Vishwak Sen Akanksha Sharma Babloo Prithiveeraj,Ram Narayan,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot"
